method.name	dataset.name	sample.id	Pearson	Spearman	RMSE
REGGEN_LAB	AF	ISFB1A3	-0.0652502865331215	-0.0395638113677933	0.0529795293224083
REGGEN_LAB	AF	ISFB1A4	0.256444528281318	-0.203471029891509	0.0912738984926739
REGGEN_LAB	AF	ISFB1B1	0.118118531357799	0.178817225561237	0.0895785830065549
REGGEN_LAB	AF	ISFB1B2	0.42593309254231	0.591169243517518	0.0871760019383902
REGGEN_LAB	AF	ISFB1B3	0.683361672352983	0.35607430231014	0.101261729000659
REGGEN_LAB	AF	ISFB1B4	0.285411913985404	0.451297254748784	0.0644850349067062
REGGEN_LAB	AF	ISFB2A1	0.126399714943612	-0.160223439831851	0.090567066550893
REGGEN_LAB	AF	ISFB2A2	-0.131285319621787	0.30643640754547	0.0968776963858216
REGGEN_LAB	AF	ISFB2A3	0.0665048193578008	0.039000997323969	0.0615034720578838
REGGEN_LAB	AF	ISFB2A4	-0.107085223293929	-0.0386746234076881	0.0913652342271445
REGGEN_LAB	AF	ISFB2B1	0.172956279004306	0.0724304236016566	0.0724989685055018
REGGEN_LAB	AF	ISFB2B2	-0.175026119119271	-0.425420857484569	0.113924070277125
REGGEN_LAB	AF	ISFB2B3	0.798655230290116	0.35607430231014	0.0929376744321274
REGGEN_LAB	AF	ISFB2B4	0.0365310149768378	0.043956043956044	0.0765502870000738
REGGEN_LAB	AF	ISFB3A1	0.402615171368787	0.613269028321911	0.0521302490423324
REGGEN_LAB	AF	ISFB3A2	-0.0146098696864024	-0.20357653371587	0.101411965671829
REGGEN_LAB	AF	ISFB3A3	0.103790614495023	0.122574563018188	0.081249831726022
REGGEN_LAB	AF	ISFB3A4	0.245929422325959	0.491720211897749	0.0762048324415633
REGGEN_LAB	AF	ISFB3B1	0.168115072664198	0.375696341674684	0.0909579907742872
REGGEN_LAB	AF	ISFB3B2	0.469966040888024	0.364646449272488	0.101705590583164
REGGEN_LAB	AF	ISFB3B3	0.266024552332201	0.135647353261006	0.0966386507221274
REGGEN_LAB	AF	ISFB3B4	0.145439897090879	0.119788777495048	0.0664105406287728
REGGEN_LAB	AF	ISFB4A1	-0.0472547335811075	0.0226078922101676	0.10356681209115
REGGEN_LAB	AF	ISFB4A2	-0.159912986358576	-0.181076059004142	0.105156002132263
REGGEN_LAB	AF	ISFB4A3	0.141960716385883	-0.125360348541329	0.0610355375408973
REGGEN_LAB	AF	ISFB4A4	-0.263101588799758	-0.226078922101676	0.114447735158491
REGGEN_LAB	AF	ISFB4B1	0.440276533335687	0.276247310054915	0.0864660770726765
REGGEN_LAB	AF	ISFB4B2	0.0615541032742455	-0.309396987261505	0.107079431339185
REGGEN_LAB	AF	ISFB4B3	0.0975381743928838	0.299554571784721	0.0840414578216452
REGGEN_LAB	AF	ISFB4B4	0.779671408425227	0.554371319104987	0.0667647049589144
REGGEN_LAB	AF	ISFB5A1	0.284409290437496	0.436470749886766	0.0823614515021662
REGGEN_LAB	AF	ISFB5A2	-0.0804983355552156	-0.0055249462010983	0.0952057235661316
REGGEN_LAB	AF	ISFB5A3	0.320510502271236	0.226078922101676	0.0601776395480148
REGGEN_LAB	AF	ISFB5A4	0.12583593319892	0.204423009440637	0.0877817041118084
REGGEN_LAB	AF	ISFB5B1	-0.133800010472523	0.0165748386032949	0.0738184542888168
REGGEN_LAB	AF	ISFB5B2	0.172435040191823	0.222862841851251	0.0949732300748305
REGGEN_LAB	AF	ISFB5B3	0.915954642557744	0.746060442935531	0.0656842735668306
REGGEN_LAB	AF	ISFB5B4	0.383710905437828	-0.0195004986619845	0.0854791671973119
REGGEN_LAB	DS1	BM10	-0.150390490859667	0.336521997302379	0.0472402566379987
REGGEN_LAB	DS1	BM12	-0.454626646237344	-0.46337171199855	0.0581374923067691
REGGEN_LAB	DS1	BM14	0.487254765840917	0.572603915167123	0.0578613164110771
REGGEN_LAB	DS1	BM16	-0.278200419814392	-0.482180772254154	0.0514538415652767
REGGEN_LAB	DS1	BM18	0.134059904495403	0.315360198494548	0.0463370582922606
REGGEN_LAB	DS1	BM2	-0.373810157221436	-0.462681395859045	0.0372344795223499
REGGEN_LAB	DS1	BM20	0.231066756535869	0.314723992614036	0.0563216210989963
REGGEN_LAB	DS1	BM22	0.0548407479835673	-0.0384633165775544	0.0469248559045446
REGGEN_LAB	DS1	BM24	0.50331029821322	0.616854908245895	0.0475627386484162
REGGEN_LAB	DS1	BM26	0.420675928049355	0.511629729359611	0.0311853817526503
REGGEN_LAB	DS1	BM28	-0.667674569261591	-0.6634346257511	0.0572890288906401
REGGEN_LAB	DS1	BM30	0.0731540085602234	0.134689604044209	0.0544996718864721
REGGEN_LAB	DS1	BM32	0.046396208605797	0.0621305894195217	0.0551878438626135
REGGEN_LAB	DS1	BM34	-0.202613033957854	-0.229884514380924	0.0513462377350751
REGGEN_LAB	DS1	BM36	-0.161568613303537	-0.239666834141814	0.0569152172093363
REGGEN_LAB	DS1	BM38	0.54253705875807	0.404598086022936	0.0396225046122242
REGGEN_LAB	DS1	BM4	0.478344429000412	0.441089769984733	0.053145496975395
REGGEN_LAB	DS1	BM40	0.147350407934513	0.246230320288486	0.0706904060038731
REGGEN_LAB	DS1	BM42	0.391685604519371	0.763452889402411	0.0546773970822622
REGGEN_LAB	DS1	BM44	-0.176832611599764	-0.22040117025416	0.0601144610184064
REGGEN_LAB	DS1	BM46	0.789004424992126	0.563766132241494	0.0600076262795213
REGGEN_LAB	DS1	BM48	-0.317649478073458	-0.215067424913729	0.0668639510413275
REGGEN_LAB	DS1	BM50	0.53875282472404	0.14480086679989	0.0557282184322628
REGGEN_LAB	DS1	BM52	0.825906591162951	0.664319379177962	0.0481859510114249
REGGEN_LAB	DS1	BM54	-0.0296586464785014	0	0.0569503077160622
REGGEN_LAB	DS1	BM56	-0.10320799196136	-0.178376517003169	0.0532257395759939
REGGEN_LAB	DS1	BM58	0.103562656919636	0.0898465750321613	0.0504335767476837
REGGEN_LAB	DS1	BM6	-0.153223486815013	0.0852705972521439	0.052231835994919
REGGEN_LAB	DS1	BM60	-0.0164221115600546	-0.20254068053783	0.0550068119122066
REGGEN_LAB	DS1	BM8	-0.406836201372421	-0.768475605780059	0.0533864587199772
REGGEN_LAB	DS2	BM1	0.378683318174298	0.371636597552497	0.0569773029844609
REGGEN_LAB	DS2	BM11	-0.00597128083762292	-0.158215565895894	0.0600105933834617
REGGEN_LAB	DS2	BM13	0.0592269082810498	-0.143150978791781	0.0515244071352029
REGGEN_LAB	DS2	BM15	0.294262580909583	0.381726444701206	0.034772116364528
REGGEN_LAB	DS2	BM17	0.616462791848227	0.656910101916175	0.0337444032771306
REGGEN_LAB	DS2	BM19	0.335709382777385	0.562916512459885	0.0443575082981343
REGGEN_LAB	DS2	BM21	-0.358353401877335	-0.50545026438383	0.0633269054290364
REGGEN_LAB	DS2	BM23	0.349089322079803	-0.107104443987067	0.0425617919481456
REGGEN_LAB	DS2	BM25	-0.312514650660055	-0.10798840211942	0.0635097405265019
REGGEN_LAB	DS2	BM27	-0.123216295361367	-0.215185390398199	0.081574908486928
REGGEN_LAB	DS2	BM29	0.0759104074427974	0.0323484641901935	0.0582675589724236
REGGEN_LAB	DS2	BM3	0.0256044548630091	0.129393856760774	0.0633218091314195
REGGEN_LAB	DS2	BM31	-0.115758156594546	0.0252873803764335	0.0460480667767047
REGGEN_LAB	DS2	BM33	0.283897113063461	0.144238672070107	0.0656549918221836
REGGEN_LAB	DS2	BM35	0.448297554077078	0.255811791756432	0.0464307102839922
REGGEN_LAB	DS2	BM37	0.439113042468416	0.448561748696493	0.0480549442630064
REGGEN_LAB	DS2	BM39	0.625424481836007	0.0822639498947684	0.0315985023227853
REGGEN_LAB	DS2	BM41	-0.309667590616125	-0.52745709050175	0.0630147867623085
REGGEN_LAB	DS2	BM43	0.0780171326402824	0.0434099310129924	0.0441599301778452
REGGEN_LAB	DS2	BM45	0.336346895277347	0.311842851309166	0.0478625242922791
REGGEN_LAB	DS2	BM47	0.440150995650962	0.200994881929576	0.0440341667076228
REGGEN_LAB	DS2	BM49	0.534055695451961	0.646578976169614	0.0585055006535236
REGGEN_LAB	DS2	BM5	0.558713818137355	0.75327202810223	0.0515706651962017
REGGEN_LAB	DS2	BM51	-0.0336215012665512	-0.108039579554072	0.0600149956132122
REGGEN_LAB	DS2	BM53	0.373594184212899	0.422890031611031	0.0586083836878677
REGGEN_LAB	DS2	BM55	-0.0527975331708013	0.037305886297813	0.046522566611322
REGGEN_LAB	DS2	BM57	0.130736232310238	0.121682404539591	0.0668133483513059
REGGEN_LAB	DS2	BM59	0.106968322186977	0.129673198954322	0.0528254873779998
REGGEN_LAB	DS2	BM7	-0.0274135565359337	0.365148371670111	0.0452861777685478
REGGEN_LAB	DS2	BM9	0.627516992720125	0.408491367764629	0.0358036285888053
REGGEN_LAB	DS3	RM10	0.646047915138133	0.58468834870919	0.0756335022649166
